City,ft,bt,No_of_Owners,Car_Model,Model_Year,Car_Price,Insurance Validity,Mileage(kmpl),Brand,Mileage_Category,Transmission_Manual
0,4,2,1,273,2019,610000.0,2,0.7513165593914569,28,0,1
0,4,7,2,107,2020,1675000.0,2,0.3218256290228204,14,1,0
0,4,2,2,273,2018,530000.0,2,0.7513165593914569,28,0,1
0,4,2,2,154,2008,250000.0,8,0.5090696313633704,19,2,1
0,4,2,1,90,2019,715000.0,8,0.4447045055588065,10,2,1
0,4,2,1,77,2018,625000.0,2,0.4622586307782329,10,2,1
0,4,2,1,238,2022,550000.0,8,0.6436512580456407,26,0,0
0,1,7,1,265,2018,825000.0,2,0.6143943826799297,28,0,1
0,4,2,2,76,2006,220000.00000000003,8,0.25160912814511416,10,1,1
0,4,2,1,160,2014,428000.0,2,0.9174956114686951,19,0,0
0,1,8,1,249,2014,695000.0,8,0.593329432416618,27,0,1
0,4,7,2,50,2019,930000.0,8,0.2867173785839673,7,1,1
0,4,2,1,155,2021,455000.0,2,0.6465769455822118,19,0,1
0,1,7,1,73,2017,1195000.0,2,0.5073142188414278,10,2,1
0,4,2,3,179,2014,442000.0,2,0.665886483323581,19,0,1
0,4,2,2,160,2017,500000.0,7,0.7080163838502048,19,0,1
0,1,8,1,163,2015,650000.0,8,0.8899941486249269,19,0,1
0,4,2,2,66,2016,537000.0,2,0.4681100058513751,9,2,0
0,1,4,1,240,2016,750000.0,8,0.5254534815681685,26,2,1
0,4,8,1,248,2018,1789999.9999999998,2,0.23990637799882975,27,1,0
0,4,2,2,273,2017,468000.0,8,0.7513165593914569,28,0,1
0,4,2,2,175,2014,420000.0,8,0.4388531304856641,19,2,1
0,4,2,1,90,2021,920000.0,8,0.526623756582797,10,2,1
0,4,8,1,63,2013,533000.0,7,0.339379754242247,9,1,1
0,4,2,3,300,2013,850000.0,8,0.3627852545348157,30,1,0
0,1,8,2,249,2017,751000.0,8,0.5927442949093037,27,0,1
0,1,2,2,77,2014,388000.0,8,0.7606787595084844,10,0,1
0,4,2,2,90,2013,490000.00000000006,2,0.4388531304856641,10,2,1
0,1,7,1,133,2016,494000.00000000006,7,0.8379169104739613,18,0,1
0,1,2,2,90,2013,525000.0,2,0.6009362200117027,10,0,1
0,4,2,1,184,2018,550000.0,2,0.5564657694558223,19,2,1
0,3,2,1,89,2013,365000.0,2,0.4798127559976594,10,2,1
0,4,2,2,238,2016,420000.0,2,0.7630193095377414,26,0,0
0,4,7,1,146,2022,1050000.0,8,0.3510825043885313,18,1,0
0,4,2,1,61,2013,394000.0,7,0.4915155061439437,9,2,1
0,4,2,2,157,2017,725000.0,2,0.5008777062609712,19,2,0
0,4,2,1,156,2013,240000.0,8,0.5804564072557051,19,0,1
0,4,7,1,239,2022,835000.0,8,0.46986541837331786,26,2,0
0,4,2,1,77,2019,695000.0,8,0.4622586307782329,10,2,1
0,4,7,1,107,2020,1725000.0,2,0.3218256290228204,14,1,0
0,4,2,1,74,2014,330000.0,2,0.5909888823873611,10,0,1
0,4,8,1,305,2019,990000.0,8,0.4207138677589234,30,2,0
0,4,8,1,295,2018,750000.0,8,0.35693387946167354,29,1,1
0,4,2,1,66,2018,755000.0,6,0.4681100058513751,9,2,0
0,1,7,1,122,2021,1750000.0,8,0.37507314218841425,17,1,1
0,4,2,1,89,2010,271000.0,2,0.5155061439438268,10,2,1
0,4,7,1,73,2018,1280000.0,8,0.22235225277940318,10,1,0
0,1,2,1,90,2012,436000.00000000006,7,0.6752486834406085,10,0,1
0,4,7,2,73,2021,1675000.0,2,0.48399837731360973,10,2,0
0,4,7,1,85,2019,1250000.0,8,0.41837331772966635,10,2,0
0,1,7,1,147,2016,1350000.0,8,0.29256875365710944,18,1,0
0,4,2,1,160,2015,475000.0,1,0.7080163838502048,19,0,0
0,1,8,2,14,2008,600000.0,8,0.1287302516091281,2,1,0
0,4,7,1,107,2020,1625000.0,8,0.3218256290228204,14,1,0
0,1,8,1,251,2014,1650000.0,3,0.3627852545348157,27,1,0
0,4,2,3,89,2009,249000.00000000003,8,0.5476887068461088,10,2,1
0,4,7,2,236,2014,630000.0,6,0.13107080163838503,26,1,1
0,4,2,1,156,2017,385000.0,7,0.7834991222937392,19,0,1
0,4,2,3,90,2012,300000.0,8,0.3510825043885313,10,1,1
0,4,2,2,155,2014,276000.0,2,0.6465769455822118,19,0,1
0,4,2,1,54,2018,500000.0,8,0.4189584552369806,7,2,1
0,4,2,1,172,2020,730000.0,2,0.5787009947337626,19,0,0
0,4,2,1,77,2014,399000.0,2,0.4622586307782329,10,2,1
0,4,2,2,89,2011,312000.0,2,0.5476887068461088,10,2,1
0,1,7,1,147,2015,1275000.0,2,0.29256875365710944,18,1,1
0,4,4,1,243,2020,719000.0,2,0.526623756582797,26,2,1
0,1,7,1,73,2016,1260000.0,8,0.5073142188414278,10,2,1
0,4,2,2,89,2010,300000.0,8,0.5476887068461088,10,2,1
0,4,2,1,90,2016,627000.0,2,0.4447045055588065,10,2,1
0,1,8,2,14,2010,1300000.0,8,0.29666471620830903,2,1,0
0,4,8,1,63,2015,672000.0,2,0.3744880046811,9,1,1
0,1,7,1,84,2017,1825000.0,2,0.31480397893504974,10,1,0
0,4,2,1,90,2013,440000.00000000006,2,0.4388531304856641,10,2,1
0,1,7,2,256,2019,1460000.0,8,0.3510825043885313,28,1,1
0,4,8,1,86,2017,1033000.0,2,0.3510825043885313,10,1,0
0,4,2,1,89,2010,275000.0,2,0.5476887068461088,10,2,1
0,4,2,1,90,2017,676000.0,2,0.4447045055588065,10,2,1
0,1,7,2,229,2014,650000.0,8,0.46869514335868934,23,2,1
0,1,2,1,179,2014,444000.00000000006,8,0.8308952603861907,19,0,1
0,4,2,1,238,2020,510000.0,8,0.6436512580456407,26,0,0
0,1,7,2,236,2016,925000.0,2,0.5032182562902282,26,2,0
0,4,8,2,63,2019,1024000.0,2,0.4095962551199531,9,2,0
0,1,8,3,249,2016,500000.0,8,0.593329432416618,27,0,1
0,4,2,2,300,2017,995000.0,8,0.36337039204212995,30,1,0
0,4,7,2,62,2012,935000.0,2,0.005851375073142151,9,1,0
0,4,7,1,50,2018,834000.0,2,0.3510825043885313,7,1,1
0,1,2,1,300,2015,560000.0,8,0.534815681685196,30,2,1
0,4,2,1,179,2012,454000.0,2,0.665886483323581,19,0,1
0,4,4,2,289,2014,1100000.0,8,0.023405500292568826,29,1,1
0,4,2,2,61,2016,462000.0,2,0.4915155061439437,9,2,1
0,1,7,2,80,2012,900000.0,8,0.0421299005266238,10,1,0
0,4,2,2,157,2019,843000.0,7,0.6085430076067876,19,0,0
0,4,2,1,158,2018,799000.0,2,0.5909888823873611,19,0,1
0,4,2,1,90,2015,576000.0,2,0.4447045055588065,10,2,1
0,1,7,1,235,2018,949000.0,2,0.5482738443534231,26,2,1
0,1,7,1,183,2017,795000.0,8,0.7782328847279111,19,0,1
0,4,7,1,85,2019,1085000.0,7,0.425394967817437,10,2,1
0,1,7,2,236,2013,516000.0,7,0.5529549444119367,26,2,1
