City,ft,bt,Transmission,No_of_Owners,Car_Model,Model_Year,Car_Price,Insurance Validity,Mileage(kmpl)
Bangalore,Petrol,Hatchback,Manual,2,Maruti Ritz,2014,420000.0,Third Party insurance,18.5
Bangalore,Petrol,Hatchback,Manual,1,Hyundai i20,2021,919999.9999999999,Third Party insurance,20
Bangalore,Petrol,Sedan,Manual,1,Honda City,2013,533000.0,Third Party,16.8
Bangalore,Petrol,Hatchback,Automatic,3,Volkswagen Polo,2013,850000.0,Third Party insurance,17.2
Bangalore,Diesel,Sedan,Manual,2,Skoda Rapid,2017,751000.0,Third Party insurance,21.13
Bangalore,Diesel,Hatchback,Manual,2,Hyundai Grand i10,2014,388000.0,Third Party insurance,24
Bangalore,Petrol,Hatchback,Manual,2,Hyundai i20,2013,490000.00000000006,Comprehensive,18.5
Bangalore,Diesel,SUV,Manual,1,Mahindra KUV 100,2016,494000.00000000006,Third Party,25.32
Bangalore,Diesel,Hatchback,Manual,2,Hyundai i20,2013,525000.0,Comprehensive,21.27
Bangalore,Diesel,SUV,Automatic,2,BMW X3,2016,2890000.0,Comprehensive,16.55
Bangalore,Petrol,Hatchback,Manual,1,Maruti Wagon R,2018,550000.0,Comprehensive,20.51
Bangalore,Lpg,Hatchback,Manual,1,Hyundai i10,2013,365000.0,Comprehensive,19.2
Bangalore,Petrol,Hatchback,Automatic,2,Renault KWID,2016,420000.0,Comprehensive,24.04
Bangalore,Diesel,Sedan,Automatic,1,Volvo S60,2017,1895000.0,Comprehensive,27.03
Bangalore,Diesel,Sedan,Automatic,2,Mercedes-Benz E-Class,2018,5990000.0,Comprehensive,17
Bangalore,Petrol,SUV,Automatic,1,Mahindra XUV300,2022,1050000.0,Third Party insurance,17
Bangalore,Petrol,SUV,Automatic,1,MG Hector Plus,2021,2075000.0,Comprehensive,16.56
Bangalore,Petrol,Hatchback,Manual,1,Honda Brio,2013,394000.0,Third Party,19.4
Bangalore,Petrol,Hatchback,Automatic,2,Maruti Baleno,2017,725000.0,Comprehensive,19.56
Bangalore,Petrol,Hatchback,Manual,1,Maruti Alto K10,2013,240000.0,Third Party insurance,20.92
Bangalore,Petrol,SUV,Automatic,1,Renault Kiger,2022,835000.0,Third Party insurance,19.03
Bangalore,Petrol,Hatchback,Manual,1,Hyundai Grand i10,2019,695000.0,Third Party insurance,18.9
Bangalore,Petrol,SUV,Automatic,1,Kia Seltos,2020,1725000.0,Comprehensive,16.5
Bangalore,Petrol,Hatchback,Manual,1,Hyundai EON,2014,330000.0,Comprehensive,21.1
Bangalore,Petrol,Sedan,Automatic,1,Volkswagen Vento,2019,990000.0,Third Party insurance,18.19
Bangalore,Petrol,Sedan,Manual,1,Toyota Yaris,2018,750000.0,Third Party insurance,17.1
Bangalore,Petrol,Hatchback,Automatic,1,Honda Jazz,2018,755000.0,Petrol,19
Bangalore,Diesel,SUV,Manual,1,MG Hector,2021,1750000.0,Third Party insurance,17.41
Bangalore,Petrol,SUV,Automatic,1,Hyundai Alcazar,2022,2082999.9999999998,Comprehensive,14.2
Bangalore,Petrol,Hatchback,Manual,1,Hyundai i10,2010,271000.0,Comprehensive,19.81
Bangalore,Petrol,SUV,Automatic,1,Hyundai Creta,2018,1280000.0,Third Party insurance,14.8
Bangalore,Diesel,Hatchback,Manual,1,Hyundai i20,2012,436000.00000000006,Third Party,22.54
Bangalore,Petrol,SUV,Automatic,2,Hyundai Creta,2021,1675000.0,Comprehensive,
Bangalore,Petrol,SUV,Automatic,1,Hyundai Venue,2019,1250000.0,Third Party insurance,18.15
Bangalore,Diesel,SUV,Automatic,1,Mahindra XUV500,2016,1350000.0,Third Party insurance,16
Bangalore,Petrol,SUV,Automatic,1,Hyundai Venue,2019,1250000.0,Third Party insurance,18.15
Bangalore,Petrol,SUV,Automatic,1,Volkswagen T-Roc,2020,2225000.0,Comprehensive,18.4
Bangalore,Petrol,Hatchback,Automatic,1,Maruti Celerio,2015,475000.0,2,23.1
Bangalore,Diesel,Sedan,Automatic,2,BMW 3 Series,2008,600000.0,Third Party insurance,13.2
Bangalore,Petrol,SUV,Automatic,1,Jeep Compass,2021,2450000.0,Third Party insurance,14.1
Bangalore,Petrol,SUV,Automatic,1,Kia Seltos,2020,1625000.0,Third Party insurance,16.5
Bangalore,Diesel,Sedan,Automatic,1,Skoda Superb,2014,1650000.0,Diesel,17.2
Bangalore,Petrol,Hatchback,Manual,3,Hyundai i10,2009,249000.00000000003,Third Party insurance,20.36
Bangalore,Petrol,SUV,Manual,2,Renault Duster,2014,630000.0,Petrol,13.24
Bangalore,Diesel,SUV,Automatic,2,Audi Q5,2016,2599000.0,Third Party insurance,14.16
Bangalore,Petrol,Hatchback,Manual,3,Hyundai i10,2009,249000.00000000003,Third Party insurance,20.36
Bangalore,Petrol,Hatchback,Manual,1,Maruti Alto K10,2017,385000.0,Third Party,24.39
Bangalore,Petrol,Hatchback,Manual,3,Hyundai i20,2012,300000.0,Third Party insurance,17
Bangalore,Diesel,SUV,Automatic,1,Ford Endeavour,2017,2975000.0,Third Party insurance,10.91
Bangalore,Petrol,Hatchback,Manual,2,Maruti Alto 800,2014,276000.0,Comprehensive,22.05
Bangalore,Petrol,Hatchback,Manual,1,Ford Figo,2018,500000.0,Third Party insurance,18.16
Bangalore,Petrol,Hatchback,Automatic,1,Maruti Ignis,2020,730000.0,Comprehensive,20.89
Bangalore,Diesel,SUV,Automatic,1,Hyundai Alcazar,2022,2245000.0,Comprehensive,18.1
Bangalore,Petrol,Hatchback,Manual,1,Hyundai Grand i10,2014,399000.0,Comprehensive,18.9
Bangalore,Petrol,Hatchback,Manual,2,Hyundai i10,2011,312000.0,Comprehensive,20.36
Bangalore,Diesel,SUV,Manual,1,Mahindra XUV500,2015,1275000.0,Comprehensive,16
Bangalore,Diesel,SUV,Manual,1,Tata Harrier,2022,1989999.9999999998,Comprehensive,16.35
Bangalore,Petrol,MUV,Manual,1,Renault Triber,2020,719000.0,Comprehensive,20
Bangalore,Diesel,SUV,Manual,1,Hyundai Creta,2016,1260000.0,Third Party insurance,19.67
Bangalore,Petrol,Hatchback,Manual,2,Hyundai i10,2010,300000.0,Third Party insurance,20.36
Bangalore,Diesel,SUV,Automatic,2,BMW X5,2016,3981000.0,Third Party insurance,15.97
Bangalore,Petrol,Hatchback,Manual,1,Hyundai i20,2016,627000.0,Comprehensive,18.6
Bangalore,Diesel,Sedan,Automatic,2,BMW 3 Series,2010,1300000.0,Third Party insurance,16.07
Bangalore,Petrol,Sedan,Manual,1,Honda City,2015,672000.0,Comprehensive,17.4
Bangalore,Diesel,SUV,Automatic,1,Hyundai Tucson,2017,1825000.0,Comprehensive,16.38
Bangalore,Diesel,SUV,Manual,2,Toyota Fortuner,2021,3500000.0,Third Party insurance,14.24
Bangalore,Petrol,Hatchback,Manual,1,Hyundai i20,2013,440000.00000000006,Comprehensive,18.5
Bangalore,Diesel,SUV,Manual,2,Tata Harrier,2019,1460000.0,Third Party insurance,17
Bangalore,Petrol,SUV,Automatic,1,MG Hector,2022,2041000.0,Comprehensive,
Bangalore,Petrol,Sedan,Automatic,1,Hyundai Verna,2017,1033000.0,Comprehensive,17
Bangalore,Petrol,Hatchback,Manual,1,Hyundai i10,2010,275000.0,Comprehensive,20.36
Bangalore,Petrol,Hatchback,Manual,1,Hyundai i20,2017,676000.0,Comprehensive,18.6
Bangalore,Diesel,SUV,Automatic,1,Mercedes-Benz GLC,2017,4290000.0,Comprehensive,17.9
Bangalore,Diesel,SUV,Manual,2,Nissan Terrano,2014,650000.0,Third Party insurance,19.01
Bangalore,Diesel,Hatchback,Manual,1,Maruti Swift,2014,444000.00000000006,Third Party insurance,25.2
Bangalore,Petrol,Hatchback,Automatic,1,Renault KWID,2020,509999.99999999994,Third Party insurance,22
Bangalore,Diesel,SUV,Automatic,2,Renault Duster,2016,925000.0,Comprehensive,19.6
Bangalore,Petrol,Sedan,Automatic,2,Honda City,2019,1024000.0,Comprehensive,18
Bangalore,Diesel,Sedan,Manual,3,Skoda Rapid,2016,500000.0,Third Party insurance,21.14
Bangalore,Petrol,Hatchback,Automatic,2,Volkswagen Polo,2017,994999.9999999999,Third Party insurance,17.21
Bangalore,Petrol,SUV,Automatic,2,Honda CR-V,2012,935000.0,Comprehensive,11.1
Bangalore,Petrol,SUV,Manual,1,Ford Ecosport,2018,834000.0,Comprehensive,17
Bangalore,Diesel,Hatchback,Manual,1,Volkswagen Polo,2015,560000.0,Third Party insurance,20.14
Bangalore,Petrol,Hatchback,Manual,1,Maruti Swift,2012,454000.0,Comprehensive,22.38
Bangalore,Petrol,Sedan,Automatic,1,Mercedes-Benz A-Class Limousine,2021,3690000.0,Comprehensive,
Bangalore,Petrol,MUV,Manual,2,Toyota Innova,2014,1100000.0,Third Party insurance,11.4
Bangalore,Petrol,Hatchback,Manual,2,Honda Brio,2016,462000.0,Comprehensive,19.4
Bangalore,Diesel,SUV,Automatic,2,Hyundai Santa Fe,2012,900000.0,Third Party insurance,11.72
Bangalore,Petrol,Sedan,Automatic,1,BMW 6 Series,2022,7900000.0,Comprehensive,13.32
Bangalore,Petrol,Hatchback,Automatic,2,Maruti Baleno,2019,843000.0,Third Party,21.4
Bangalore,Petrol,Hatchback,Manual,1,Maruti Baleno RS,2018,799000.0,Comprehensive,21.1
Bangalore,Petrol,Hatchback,Manual,1,Hyundai i20,2015,576000.0,Comprehensive,18.6
Bangalore,Diesel,SUV,Manual,1,Renault Captur,2018,949000.0,Comprehensive,20.37
Bangalore,Diesel,SUV,Manual,1,Maruti Vitara Brezza,2017,795000.0,Third Party insurance,24.3
Bangalore,Petrol,SUV,Manual,1,Hyundai Venue,2019,1085000.0,Third Party,18.27
Bangalore,Petrol,SUV,Automatic,1,Jeep Compass,2022,2590000.0,Comprehensive,14.1
Bangalore,Diesel,SUV,Manual,2,Renault Duster,2013,516000.0,Third Party,20.45
Bangalore,Petrol,SUV,Automatic,2,Ford Ecosport,2017,777000.0,Comprehensive,14.8
Bangalore,Petrol,Hatchback,Manual,1,Honda Jazz,2019,753000.0,Comprehensive,18.2
Bangalore,Diesel,SUV,Automatic,2,Mahindra XUV500,2017,1226000.0,Third Party insurance,16
Bangalore,Petrol,Hatchback,Manual,1,Honda Jazz,2017,725000.0,Comprehensive,18.7
Bangalore,Diesel,Sedan,Manual,1,Hyundai Verna,2020,1150000.0,Third Party insurance,22
Bangalore,Diesel,Hatchback,Manual,2,Maruti Swift,2015,629000.0,Comprehensive,25.2
Bangalore,Petrol,Sedan,Manual,2,Maruti Swift Dzire,2013,447000.0,Comprehensive,22.41
Bangalore,Petrol,Hatchback,Manual,3,Maruti Celerio,2015,400000.0,Third Party insurance,23.1
Bangalore,Diesel,MUV,Manual,2,Maruti Ertiga,2014,786000.0,Comprehensive,20.77
Bangalore,Petrol,Hatchback,Manual,1,Honda Jazz,2018,745000.0,Comprehensive,18.7
Bangalore,Petrol,Hatchback,Automatic,1,Hyundai Grand i10,2014,490000.00000000006,Comprehensive,18.9
Bangalore,Petrol,Sedan,Automatic,2,Honda City,2017,942000.0,Comprehensive,18
